iter	MultiClass
0	1.075293476
1	1.055239069
2	1.038946195
3	1.024505959
4	1.013076528
5	1.0027221
6	0.993418421
7	0.9853819454
8	0.978512107
9	0.9722317584
10	0.9668199078
11	0.9617721056
12	0.9572985937
13	0.9527208522
14	0.9483884524
15	0.9447661471
16	0.9414599538
17	0.9382225385
18	0.9354584423
19	0.9328775037
20	0.9302888697
21	0.9276777869
22	0.9253609178
23	0.9233823619
24	0.9213119121
25	0.9194641858
26	0.9178529681
27	0.9162876711
28	0.9147018902
29	0.9132640476
30	0.911814643
31	0.9102287644
32	0.9088555776
33	0.907559996
34	0.9063086148
35	0.9052564517
36	0.9040455592
37	0.9029348509
38	0.9017531168
39	0.9008340224
40	0.8999521732
41	0.8990611136
42	0.8981550571
43	0.8970806842
44	0.8963153323
45	0.8955950934
46	0.8947402297
47	0.893996069
48	0.8932880776
49	0.8925554534
50	0.8919234501
51	0.8913508019
52	0.8906194269
53	0.8899609156
54	0.8895098935
55	0.8888420422
56	0.8882124184
57	0.8874985265
58	0.887036282
59	0.8862602627
60	0.885689299
61	0.8849599758
62	0.8844945361
63	0.8838020032
64	0.8832413116
65	0.8826030202
66	0.8823201531
67	0.8819796136
68	0.8816423197
69	0.8811742104
70	0.8807367537
71	0.8804140686
72	0.8798855273
73	0.8793488437
74	0.8789171933
75	0.8786087804
76	0.8781339965
77	0.8776019713
78	0.8769959413
79	0.8765817389
80	0.8762202587
81	0.8758100916
82	0.8755346773
83	0.8751993014
84	0.8748006319
85	0.8745303244
86	0.8742281089
87	0.8737092936
88	0.8733631823
89	0.8730086724
90	0.8727093718
91	0.8724390431
92	0.8721321991
93	0.871850527
94	0.8715901641
95	0.8712199122
96	0.870949154
97	0.8706838659
98	0.8702338675
99	0.8699323946
100	0.8694429664
101	0.8689650649
102	0.8685782303
103	0.8681733944
104	0.8678342435
105	0.8674577276
106	0.8671827791
107	0.8669396546
108	0.8665438257
109	0.8660656993
110	0.8657590033
111	0.8654958281
112	0.8652351176
113	0.8649635822
114	0.8646801045
115	0.8644325822
116	0.8641487214
117	0.8639433025
118	0.8635241637
119	0.8632706207
120	0.8628776424
121	0.8625587233
122	0.862242937
123	0.8618106513
124	0.8615597735
125	0.8612734882
126	0.8609298698
127	0.8604866402
128	0.8600058886
129	0.8597932157
130	0.8593896043
131	0.859098422
132	0.85885618
133	0.8585002097
134	0.8581980852
135	0.8579490247
136	0.8577045079
137	0.857352558
138	0.8569349501
139	0.8565994831
140	0.8563253456
141	0.8559776686
142	0.8556873339
143	0.8553260445
144	0.8550217233
145	0.8548068961
146	0.8544803397
147	0.8541693764
148	0.8539668436
149	0.8538057643
150	0.8536384954
151	0.8533308468
152	0.8529769512
153	0.8527614385
154	0.8524938992
155	0.8522180027
156	0.8520192263
157	0.8517340693
158	0.8515068896
159	0.8512629397
160	0.8510317998
161	0.8508487613
162	0.8506681249
163	0.8503170614
164	0.8500671645
165	0.8497794022
166	0.8495937714
167	0.8493523753
168	0.8489724929
169	0.8487424112
170	0.8484931848
171	0.848195373
172	0.8479439613
173	0.8477581361
174	0.8474909113
175	0.8471289741
176	0.8468692071
177	0.8464909956
178	0.8463139413
179	0.8459867932
180	0.8457770073
181	0.8454859014
182	0.8452706846
183	0.8449792053
184	0.8448302074
185	0.844472375
186	0.8442350504
187	0.8439609306
188	0.8434524347
189	0.8431350233
190	0.8428850473
191	0.8425926063
192	0.8423254926
193	0.8421426364
194	0.8418651377
195	0.8416014239
196	0.8414523494
197	0.8412240682
198	0.8409385936
199	0.8407920031
200	0.840573
201	0.840379451
202	0.8401539445
203	0.8399029691
204	0.8395870371
205	0.839411039
206	0.8391878066
207	0.8390155096
208	0.8388174073
209	0.8386033278
210	0.8384609759
211	0.838286158
212	0.8380717935
213	0.8377704404
214	0.8375175492
215	0.8373598986
216	0.83715628
217	0.8368402663
218	0.8365696788
219	0.8363743557
220	0.8362126295
221	0.8359502379
222	0.835617113
223	0.8354298696
224	0.8351380756
225	0.8350010033
226	0.8347201273
227	0.8344954086
228	0.8343535661
229	0.8340066408
230	0.8337917226
231	0.833496122
232	0.8333241779
233	0.8331158733
234	0.8328941717
235	0.8327258225
236	0.8323987841
237	0.8321916984
238	0.8320002204
239	0.831777944
240	0.8316186973
241	0.8313916562
242	0.8311280982
243	0.8308850035
244	0.8307257929
245	0.830524802
246	0.830345218
247	0.8301847943
248	0.8299748375
249	0.8297272772
250	0.8295736524
251	0.8293001446
252	0.8291273534
253	0.8289537551
254	0.8288065761
255	0.8286201485
256	0.8283735977
257	0.828223976
258	0.8279793143
259	0.8278517628
260	0.8276342412
261	0.8274362643
262	0.8272883112
263	0.8270765825
264	0.8269325012
265	0.8266768937
266	0.8265024307
267	0.8263218589
268	0.8261038304
269	0.8258392265
270	0.8256098884
271	0.8254510511
272	0.8253354724
273	0.8250839471
274	0.8248484329
275	0.82458823
276	0.8243733751
277	0.8241229257
278	0.8238212856
279	0.8236163873
280	0.8234133114
281	0.8233087707
282	0.8231655686
283	0.8229821218
284	0.8227618831
285	0.8225598032
286	0.8223961582
287	0.8221504906
288	0.8220135266
289	0.8217983831
290	0.8216221199
291	0.8214716158
292	0.8212710686
293	0.8211353725
294	0.8209644569
295	0.8206862343
296	0.8204663447
297	0.8202534019
298	0.8199298786
299	0.8197875236
300	0.8195801632
301	0.8194073579
302	0.8192357754
303	0.8189809806
304	0.8187291316
305	0.8185464525
306	0.8183048637
307	0.8180710847
308	0.8179026841
309	0.8177220528
310	0.8174801932
311	0.8172371672
312	0.8171544374
313	0.8168704927
314	0.8167573658
315	0.8166209032
316	0.8164359364
317	0.8163168761
318	0.8160844276
319	0.8158853988
320	0.8157080403
321	0.81551702
322	0.8153572561
323	0.8151858956
324	0.8150417685
325	0.8148079089
326	0.8145562696
327	0.8144035119
328	0.8142388689
329	0.8140403947
330	0.8138667979
331	0.8137258062
332	0.813490624
333	0.8133464416
334	0.8132643487
335	0.8130912169
336	0.8129411313
337	0.8127151822
338	0.8124792071
339	0.8122417821
340	0.8120513293
341	0.8118481326
342	0.8116627505
343	0.8114951368
344	0.8113504362
345	0.8111857751
346	0.8110492733
347	0.8109115631
348	0.8106884138
349	0.8103839555
350	0.8102016159
351	0.8100394001
352	0.8098849617
353	0.809655003
354	0.8094224314
355	0.8092256768
356	0.8090742848
357	0.8089061235
358	0.8087134936
359	0.8085315105
360	0.8083791243
361	0.8082092569
362	0.8080844653
363	0.8078723867
364	0.8076719563
365	0.807437623
366	0.8072589252
367	0.8071325352
368	0.8069969063
369	0.8067514444
370	0.8066106729
371	0.8064468295
372	0.8063332713
373	0.806130606
374	0.8059173797
375	0.8056770902
376	0.8054782841
377	0.8053300062
378	0.8051566996
379	0.8050100386
380	0.8047920607
381	0.8046315919
382	0.8044940803
383	0.804294824
384	0.80413173
385	0.8039210442
386	0.8036707368
387	0.8034970779
388	0.8033335987
389	0.803158204
390	0.8030332628
391	0.802838499
392	0.8027042789
393	0.8025433613
394	0.8023643067
395	0.8022774032
396	0.8021144761
397	0.80195619
398	0.8018491037
399	0.8015979514
400	0.801440365
401	0.8013157682
402	0.8011767697
403	0.8010822618
404	0.8008425245
405	0.8007083128
406	0.8005766369
407	0.8003294083
408	0.8002003719
409	0.7999968473
410	0.7998065502
411	0.7996297666
412	0.7995419213
413	0.7993796485
414	0.7991912615
415	0.7989827205
416	0.7987523698
417	0.7986817205
418	0.7985386014
419	0.7984389922
420	0.7983496801
421	0.7982431918
422	0.7981548744
423	0.7980631274
424	0.7979029039
425	0.7976774651
426	0.797489852
427	0.7972936617
428	0.797184206
429	0.7970058531
430	0.7968606046
431	0.7967509792
432	0.7966255146
433	0.7964760694
434	0.7963706202
435	0.7962852979
436	0.7961703109
437	0.7959338793
438	0.7958223765
439	0.7957137549
440	0.7955438266
441	0.7953853684
442	0.7952650595
443	0.7950845116
444	0.7949024003
445	0.7946086204
446	0.7944587081
447	0.7943109358
448	0.7941680997
449	0.7940041429
450	0.7938454139
451	0.7937179895
452	0.793530405
453	0.7932962638
454	0.7931137466
455	0.79300861
456	0.7928349282
457	0.7926410923
458	0.7924977979
459	0.7922716712
460	0.7921473849
461	0.7920165421
462	0.791772929
463	0.791694157
464	0.7915697179
465	0.7914411815
466	0.7912537797
467	0.7911454999
468	0.7909654763
469	0.7907879674
470	0.7906590362
471	0.7905308904
472	0.7903869813
473	0.7901965704
474	0.7900602535
475	0.7899393352
476	0.7897183425
477	0.7896114816
478	0.7894766277
479	0.7893476303
480	0.7892562321
481	0.7891568831
482	0.7890042551
483	0.7888552058
484	0.7887298903
485	0.7886096593
486	0.7884158051
487	0.7882270431
488	0.7881150257
489	0.7879606088
490	0.7878316268
491	0.7876686381
492	0.7875446007
493	0.7874091219
494	0.7872268037
495	0.7871248372
496	0.7870029168
497	0.7868380704
498	0.7866658016
499	0.7864844432
500	0.7863690446
501	0.7861438811
502	0.7859724732
503	0.7858306731
504	0.7856563423
505	0.7855538954
506	0.7853549689
507	0.785199456
508	0.7851101067
509	0.7849966222
510	0.7848512338
511	0.7846725855
512	0.7845830288
513	0.7844955297
514	0.7843428653
515	0.7841289441
516	0.78393756
517	0.7837844238
518	0.7836931858
519	0.78358323
520	0.78344949
521	0.7833311543
522	0.7831502394
523	0.7830377533
524	0.7829102315
525	0.7827290047
526	0.7826405064
527	0.7823984185
528	0.7822528162
529	0.7821322283
530	0.7820229439
531	0.7818729234
532	0.7817629889
533	0.7816337131
534	0.7814751725
535	0.7813313515
536	0.781165834
537	0.7810509579
538	0.780891672
539	0.7807624659
540	0.7805926644
541	0.7804823194
542	0.7803405236
543	0.7802537443
544	0.7801151688
545	0.779975109
546	0.7798461528
547	0.7796401419
548	0.7795326066
549	0.7793928414
550	0.7792563497
551	0.7791123386
552	0.7789897234
553	0.7788723355
554	0.7787402301
555	0.7786267973
556	0.7785163517
557	0.7783970535
558	0.7782905789
559	0.7780804273
560	0.7779301693
561	0.7778559915
562	0.777644634
563	0.7775026841
564	0.7774226652
565	0.7772853898
566	0.7771901568
567	0.7770447317
568	0.7769476699
569	0.7767458922
570	0.7766487752
571	0.776535667
572	0.7764692793
573	0.7763206865
574	0.7761549269
575	0.7760341764
576	0.7759305478
577	0.7757823763
578	0.7756979679
579	0.7755560887
580	0.7753837434
581	0.7752805351
582	0.7751424243
583	0.7750612109
584	0.7749424943
585	0.7748889702
586	0.7747294889
587	0.7746121866
588	0.7744266449
589	0.7742440875
590	0.7741003757
591	0.774024529
592	0.7738598607
593	0.773646189
594	0.7735649939
595	0.7734126003
596	0.7733106886
597	0.773230248
598	0.7730636023
599	0.7729264166
600	0.7728705415
601	0.7727802728
602	0.772668952
603	0.7725061171
604	0.7723462816
605	0.7722061851
606	0.7720776526
607	0.771964469
608	0.7718886862
609	0.7717634779
610	0.7716058355
611	0.771492551
612	0.7714098301
613	0.7712464605
614	0.7710711989
615	0.7709266073
616	0.7707392909
617	0.7706645012
618	0.7705199756
619	0.7704482508
620	0.7702810438
621	0.7700975508
622	0.7699138633
623	0.7697479602
624	0.7696856428
625	0.7695790467
626	0.7694516417
627	0.7693637272
628	0.7692200639
629	0.7690989734
630	0.7689787575
631	0.7689019253
632	0.7687199489
633	0.7685323134
634	0.7684234835
635	0.7682795243
636	0.7681328416
637	0.767957089
638	0.7677971897
639	0.7676559354
640	0.767507827
641	0.7673593977
642	0.7671944327
643	0.7670760645
644	0.7669296527
645	0.7668702865
646	0.7667032088
647	0.7665299081
648	0.7664395685
649	0.7662530056
650	0.766128339
651	0.766011495
652	0.7659063928
653	0.7657254217
654	0.7656129354
655	0.7655090616
656	0.7653754855
657	0.7652939159
658	0.7652281727
659	0.7650950629
660	0.7650200722
661	0.7649112928
662	0.7648540617
663	0.7647342192
664	0.7645863384
665	0.764424181
666	0.7643355287
