iter	Passed	Remaining
0	319	319059
1	477	238277
2	673	223790
3	877	218436
4	989	196844
5	1113	184545
6	1278	181314
7	1431	177467
8	1604	176685
9	1742	172551
10	1912	171913
11	2061	169711
12	2190	166339
13	2313	162942
14	2446	160650
15	2571	158129
16	2688	155471
17	2810	153350
18	2925	151047
19	3052	149561
20	3172	147885
21	3292	146376
22	3461	147052
23	3624	147390
24	3795	148013
25	3926	147095
26	4054	146102
27	4163	144527
28	4273	143082
29	4372	141383
30	4481	140094
31	4617	139677
32	4750	139204
33	4919	139776
34	5096	140525
35	5223	139873
36	5348	139213
37	5479	138730
38	5630	138748
39	5743	137855
40	5858	137039
41	5977	136333
42	6099	135738
43	6218	135101
44	6323	134203
45	6435	133473
46	6551	132848
47	6658	132069
48	6769	131374
49	6883	130794
50	6990	130085
51	7099	129426
52	7206	128765
53	7330	128418
54	7458	128145
55	7603	128167
56	7767	128498
57	7925	128728
58	8051	128408
59	8176	128092
60	8293	127672
61	8420	127390
62	8516	126670
63	8634	126276
64	8743	125768
65	8860	125389
66	8975	124987
67	9090	124595
68	9196	124079
69	9314	123746
70	9431	123409
71	9541	122975
72	9657	122633
73	9774	122312
74	9874	121784
75	9985	121407
76	10116	121269
77	10242	121071
78	10372	120923
79	10490	120641
80	10588	120131
81	10745	120298
82	10873	120134
83	10989	119842
84	11120	119714
85	11225	119302
86	11325	118854
87	11428	118440
88	11531	118040
89	11630	117597
90	11722	117091
91	11821	116668
92	11914	116194
93	12007	115736
94	12136	115611
95	12240	115261
96	12338	114862
97	12436	114468
98	12535	114088
99	12654	113888
100	12785	113808
101	12885	113444
102	12982	113059
103	13100	112866
104	13219	112679
105	13332	112443
106	13447	112227
107	13535	111794
108	13651	111589
109	13770	111412
110	13871	111095
111	13975	110808
112	14075	110487
113	14181	110214
114	14290	109977
115	14395	109706
116	14495	109400
117	14643	109455
118	14784	109453
119	14909	109336
120	15023	109138
121	15128	108877
122	15233	108613
123	15334	108332
124	15436	108058
125	15526	107696
126	15613	107330
127	15714	107053
128	15809	106743
129	15923	106564
130	16040	106403
131	16142	106148
132	16240	105868
133	16355	105698
134	16455	105438
135	16567	105252
136	16690	105138
137	16808	104989
138	16959	105049
139	17083	104941
140	17198	104774
141	17301	104540
142	17405	104310
143	17503	104051
144	17616	103875
145	17718	103643
146	17826	103444
147	17930	103218
148	18028	102970
149	18125	102712
150	18210	102390
151	18305	102126
152	18431	102037
153	18583	102087
154	18718	102045
155	18820	101824
156	18920	101593
157	19036	101449
158	19149	101289
159	19251	101070
160	19354	100861
161	19452	100626
162	19551	100395
163	19652	100178
164	19753	99965
165	19853	99745
166	19947	99496
167	20071	99403
168	20204	99348
169	20343	99324
170	20474	99257
171	20582	99080
172	20676	98838
173	20765	98577
174	20869	98384
175	20971	98183
176	21070	97969
177	21169	97758
178	21302	97708
179	21413	97550
180	21521	97381
181	21637	97248
182	21738	97049
183	21839	96854
184	21939	96654
185	22065	96565
186	22220	96605
187	22358	96570
188	22469	96415
189	22604	96366
190	22706	96176
191	22806	95976
192	22896	95737
193	22988	95509
194	23095	95344
195	23192	95138
196	23283	94908
197	23425	94886
198	23561	94837
199	23675	94701
200	23772	94497
201	23864	94276
202	23978	94141
203	24098	94032
204	24227	93955
205	24324	93755
206	24428	93585
207	24519	93364
208	24619	93177
209	24709	92954
210	24799	92735
211	24918	92619
212	25032	92491
213	25156	92398
214	25269	92262
215	25372	92093
216	25476	91926
217	25586	91782
218	25689	91613
219	25805	91490
220	25960	91508
221	26103	91479
222	26230	91395
223	26336	91236
224	26441	91075
225	26537	90884
226	26632	90692
227	26724	90489
228	26809	90261
229	26901	90062
230	27022	89958
231	27142	89850
232	27246	89690
233	27344	89513
234	27440	89327
235	27540	89155
236	27682	89120
237	27805	89024
